2017-08-31_22:18:10('Task started, migrate_statement=', "SELECT page_title, platform FROM [Karma].[dbo].[KnownPages] where page_title not like LOWER('%bug%') and platform != 'xWiki'", 'title_like=', 'None')
2017-08-31_22:20:01(('SUCCESS: Page', '"IBM Tape Diagnostic Tool" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '90/664')
2017-08-31_22:20:02(('SUCCESS: Page', '"How to truncate SQL Logs manually" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '91/664')
2017-08-31_22:20:04(('SUCCESS: Page', '"UPGRADE ORDERS" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '92/664')
2017-08-31_22:20:05(('SUCCESS: Page', '"VESQL - restore to AlwaysOn (Specify AlwaysON Restore Options isn\'t shown)" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '93/664')
2017-08-31_22:20:06(('SUCCESS: Page', '"Tape GFS logic" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '94/664')
2017-08-31_22:20:07(('SUCCESS: Page', '"How the process of registering Cloud and Service Providers on Veeam forums works" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '95/664')
2017-08-31_22:20:07(('SUCCESS: Page', '"Rental General" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '96/664')
2017-08-31_22:20:08(('SUCCESS: Page', '"Subst tricks for rotated repositories testing" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '97/664')
2017-08-31_22:20:09(('SUCCESS: Page', '"Patches and fixes" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '98/664')
2017-08-31_22:20:10(('SUCCESS: Page', '"HPE orders" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '99/664')
2017-08-31_22:20:13(('SUCCESS: Page', '"Linux FLR appliance deploy failed: Module \'MonitorLoop\' power on failed." from platform', 'Confluence', 'is migrated'), 'migrated in total:', '100/664')
2017-08-31_22:20:14(('SUCCESS: Page', '"Incoming call on a severity 1 issue" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '101/664')
2017-08-31_22:20:15(('SUCCESS: Page', '"Easy start to script on Powershell" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '102/664')
2017-08-31_22:20:16(('SUCCESS: Page', '"4. Veeam Configuration Backup And Configuration Restore" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '103/664')
2017-08-31_22:20:17(('SUCCESS: Page', '"Delete nworks namespace (powershell)" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '104/664')
2017-08-31_22:20:18(('SUCCESS: Page', '"France" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '105/664')
2017-08-31_22:20:18(('SUCCESS: Page', '"Understanding and Talking to Customers About Packet Traces" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '106/664')
2017-08-31_22:20:19(('SUCCESS: Page', '"Air wizards registry keys" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '107/664')
2017-08-31_22:20:20(('SUCCESS: Page', '"Multiple VES Servers in one Management Group" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '108/664')
2017-08-31_22:20:20(('ERROR: Page', '"Hyper-V Backup Copy Job" from platform', 'Confluence', 'has no text'), 'migrated in total:', '108/664')
2017-08-31_22:20:23(('SUCCESS: Page', '"Как создать свою первую VM в Veeam Support Lab" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '109/664')
2017-08-31_22:20:24(('SUCCESS: Page', '"ANZ" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '110/664')
2017-08-31_22:20:25(('SUCCESS: Page', '"List of MBR and GPT partition identifiers for PCs" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '111/664')
2017-08-31_22:20:26(('SUCCESS: Page', '"Management Pack - Tier1 - FTR" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '112/664')
