2017-08-30_18:40:18('Task started, migrate_statement=', "SELECT page_title, platform FROM [Karma].[dbo].[KnownPages] where page_title not like LOWER('%bug%') and platform != 'xWiki'", 'title_like=', 'None')
2017-08-30_18:43:11(('SUCCESS: Page', '"Heartbeat test fails for Linux VMs in SureBackup" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '137/662')
2017-08-30_18:43:12(('SUCCESS: Page', '"9,5 Upgrade fails with Unsupported SQL Version" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '138/662')
2017-08-30_18:43:12(('ERROR: Page', '"Vmware Replica Job" from platform', 'Confluence', 'has no text'), 'migrated in total:', '138/662')
2017-08-30_18:43:13(('SUCCESS: Page', '"Collecting Windows events" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '139/662')
2017-08-30_18:43:14(('SUCCESS: Page', '"Veeam BandR database fields" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '140/662')
2017-08-30_18:43:15(('SUCCESS: Page', '"VMware vSphere 5.1 Release and Build Number History" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '141/662')
2017-08-30_18:43:16(('SUCCESS: Page', '"Creation of Virtual Lab fails with "The object has already been deleted or has not been completely created"" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '142/662')
2017-08-30_18:43:16(('SUCCESS: Page', '"10. Useful Tools To Work With Databases" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '143/662')
2017-08-30_18:43:17(('SUCCESS: Page', '"Deployment lab: extended edition" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '144/662')
2017-08-30_18:43:25(('SUCCESS: Page', '"All KB/UG/BP articles by themes" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '145/662')
2017-08-30_18:43:26(('SUCCESS: Page', '"Understanding VeeamGuestHelper RPC connectivity" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '146/662')
2017-08-30_18:43:27(('SUCCESS: Page', '"Unified lecture template and guidlines" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '147/662')
2017-08-30_18:43:28(('SUCCESS: Page', '"Shared resource credentials" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '148/662')
2017-08-30_18:43:29(('SUCCESS: Page', '"All Collectors become unavailable in SCOM" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '149/662')
2017-08-30_18:43:29(('SUCCESS: Page', '"Veeam PSS hints" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '150/662')
2017-08-30_18:43:30(('SUCCESS: Page', '"VEX onDate" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '151/662')
2017-08-30_18:43:31(('SUCCESS: Page', '"Useful contacts and mailing lists" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '152/662')
2017-08-30_18:43:32(('SUCCESS: Page', '"Issue logging in to Veeam Managed Backup Portal with accounts added to an AD group that is granted the Veeam Backup Administrator role" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '153/662')
2017-08-30_18:43:32(('SUCCESS: Page', '"Kaseya: Support for WinServer 2016" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '154/662')
2017-08-30_18:43:33(('SUCCESS: Page', '"Veeam Backup Catalog Service fails to start (Attribute "LastSyncTimeUtc" was not found under the tree "".)" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '155/662')
2017-08-30_18:43:34(('SUCCESS: Page', '"sudo and su" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '156/662')
2017-08-30_18:43:35(('SUCCESS: Page', '"T1 to T2 escalation procedure" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '157/662')
2017-08-30_18:43:36(('SUCCESS: Page', '"Frequent "Backup performance data collection failure" alarms" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '158/662')
2017-08-30_18:43:36(('SUCCESS: Page', '"Licensing phone queues" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '159/662')
2017-08-30_18:43:37(('SUCCESS: Page', '"North Eastern EMEA" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '160/662')
2017-08-30_18:43:38(('SUCCESS: Page', '"Opportunity type description" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '161/662')
2017-08-30_18:43:39(('SUCCESS: Page', '"Windows: fsutil - work directly with NTFS\\FAT File System." from platform', 'Confluence', 'is migrated'), 'migrated in total:', '162/662')
2017-08-30_18:43:40(('SUCCESS: Page', '"Keyboard and mouse are not working in Bare Metal recovery environment" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '163/662')
2017-08-30_18:44:31(('SUCCESS: Page', '"Veeam Backup" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '164/662')
2017-08-30_18:44:32(('SUCCESS: Page', '"Recovery media creation fails with " This access control list is not in canonical form and therefore cannot be changed "" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '165/662')
2017-08-30_18:44:33(('SUCCESS: Page', '"Search Tips" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '166/662')
2017-08-30_18:44:33(('ERROR: Page', '"Hyper-V Restore File-Level Other OS" from platform', 'Confluence', 'has no text'), 'migrated in total:', '166/662')
