2017-09-01_15:35:24('Task started, migrate_statement=', "SELECT page_title, platform FROM [Karma].[dbo].[KnownPages] where page_title not like LOWER('bug%') and platform != 'xWiki'", 'title_like=', 'None')
2017-09-01_15:38:43(('SUCCESS: Page', '"Log Diving: Job Options" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '133/685')
2017-09-01_15:38:44(('SUCCESS: Page', '"VDDK performance tester" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '134/685')
2017-09-01_15:38:45(('SUCCESS: Page', '"SMTPDummy" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '135/685')
2017-09-01_15:38:46(('SUCCESS: Page', '"DB restore with SQLCMD" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '136/685')
2017-09-01_15:38:46(('SUCCESS: Page', '"Basic Network Troubleshooting" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '137/685')
2017-09-01_15:38:47(('SUCCESS: Page', '"Kaseya: Arithmetic overflow error converting expression to datatype bigint" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '138/685')
2017-09-01_15:38:48(('SUCCESS: Page', '"Backup job to a CIFs share fails with "The specified network name is no longer available" after merge is complete and renameFileWithRollback command is sent" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '139/685')
2017-09-01_15:38:50(('SUCCESS: Page', '"DB administration via SQLCMD" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '140/685')
2017-09-01_15:38:51(('SUCCESS: Page', '"Heartbeat test fails for Linux VMs in SureBackup" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '141/685')
2017-09-01_15:38:52(('SUCCESS: Page', '"9,5 Upgrade fails with Unsupported SQL Version" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '142/685')
2017-09-01_15:38:52(('ERROR: Page', '"Vmware Replica Job" from platform', 'Confluence', 'has no text'), 'migrated in total:', '142/685')
2017-09-01_15:38:53(('SUCCESS: Page', '"Collecting Windows events" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '143/685')
2017-09-01_15:38:55(('SUCCESS: Page', '"Veeam B%26R database fields" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '144/685')
2017-09-01_15:38:56(('SUCCESS: Page', '"VMware vSphere 5.1 Release and Build Number History" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '145/685')
2017-09-01_15:38:57(('SUCCESS: Page', '"Creation of Virtual Lab fails with "The object has already been deleted or has not been completely created"" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '146/685')
2017-09-01_15:38:58(('SUCCESS: Page', '"10. Useful Tools To Work With Databases" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '147/685')
2017-09-01_15:38:59(('SUCCESS: Page', '"Deployment lab: extended edition" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '148/685')
2017-09-01_15:39:11(('SUCCESS: Page', '"All KB/UG/BP articles by themes" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '149/685')
2017-09-01_15:39:12(('SUCCESS: Page', '"Understanding VeeamGuestHelper RPC connectivity" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '150/685')
2017-09-01_15:39:13(('SUCCESS: Page', '"Unified lecture template and guidlines" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '151/685')
2017-09-01_15:39:15(('SUCCESS: Page', '"Shared resource credentials" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '152/685')
2017-09-01_15:39:16(('SUCCESS: Page', '"All Collectors become unavailable in SCOM" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '153/685')
2017-09-01_15:39:16(('SUCCESS: Page', '"Veeam PSS hints" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '154/685')
2017-09-01_15:39:17(('SUCCESS: Page', '"VEX onDate" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '155/685')
2017-09-01_15:39:19(('SUCCESS: Page', '"Useful contacts and mailing lists" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '156/685')
2017-09-01_15:39:20(('SUCCESS: Page', '"Issue logging in to Veeam Managed Backup Portal with accounts added to an AD group that is granted the Veeam Backup Administrator role" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '157/685')
2017-09-01_15:39:21(('SUCCESS: Page', '"Kaseya: Support for WinServer 2016" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '158/685')
2017-09-01_15:39:22(('SUCCESS: Page', '"NetApp Bug: Storage snapshot is not removed" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '159/685')
2017-09-01_15:39:23(('SUCCESS: Page', '"Veeam Backup Catalog Service fails to start (Attribute "LastSyncTimeUtc" was not found under the tree "".)" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '160/685')
2017-09-01_15:39:24(('SUCCESS: Page', '"sudo and su" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '161/685')
2017-09-01_15:39:26(('SUCCESS: Page', '"T1 to T2 escalation procedure" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '162/685')
2017-09-01_15:39:28(('SUCCESS: Page', '"Frequent "Backup performance data collection failure" alarms" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '163/685')
2017-09-01_15:39:29(('SUCCESS: Page', '"Licensing phone queues" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '164/685')
2017-09-01_15:39:30(('SUCCESS: Page', '"North Eastern EMEA" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '165/685')
2017-09-01_15:39:31(('SUCCESS: Page', '"Opportunity type description" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '166/685')
2017-09-01_15:39:32(('SUCCESS: Page', '"Windows: fsutil - work directly with NTFS\\FAT File System." from platform', 'Confluence', 'is migrated'), 'migrated in total:', '167/685')
